@relation Enem2019IFmuz

@attribute NU_NOTA_CN Numeric
@attribute NU_NOTA_CH Numeric
@attribute NU_NOTA_LC Numeric
@attribute NU_NOTA_MT Numeric
@attribute NU_NOTA_REDACAO Numeric
@attribute SEXO {'Masculino','Feminino'}
@attribute COR_RACA {'Nao declarado','Branca','Preta','Parda','Amarela','Indigena'}
@attribute TIPO_ESCOLA {'Nao Respondeu','Publica','Privada','Exterior'}
@attribute ESCOLARIDADE_PAI {'Nunca Estudou','Nao Completou 4serie/5ano','Completou 4serie/5ano','Completou 8serie/9ano','Completou Ensino Medio','Completou Faculdade','Completou Pos-graduacao','Nao Sei'}
@attribute ESCOLARIDADE_MAE {'Nunca Estudou','Nao Completou 4serie/5ano','Completou 4serie/5ano','Completou 8serie/9ano','Completou Ensino Medio','Completou Faculdade','Completou Pos-graduacao','Nao Sei'}
@attribute RENDA_FAMILIAR {'Nenhuma renda','Ate R$998,00','De R$998,01 ate R$1494,00','De R$1494,00 ate R$1996,00','De R$1996,01 ate R$2495,00','De R$2495,01 ate R$2994,00','De R$2994,01 ate R$3992,00','De R$3992,01 ate R$4990,0','De R$4990,01 ate R$5988,00','De R$5988,01 ate R$6986,00','De R$6986,01 ate R$7984,00','De R$7984,01 ate R$8982,00','De R$8982,01 ate R$9980,00','De R$9980,01 ate R$11976,00','De R$11976,01 ate R$14970,00','De R$14970,01 ate R$19960,00','Mais de R$19960,00'}
@attribute POSSUI_COMPUTADOR {'Nao','Sim,um','Sim,dois','Sim,tres','Sim,quatro ou mais'}
@attribute ACESSO_INTERNET {'Nao','Sim'}
@attribute NOTA_CIENCIASNATUREZA {'Abaixo_500','Entre_500-600', 'Entre_600-700', 'Entre_700-800', 'Entre_800-900', 'Entre_900-1000'}
@attribute NOTA_CIENCIASHUMANAS {'Abaixo_500','Entre_500-600', 'Entre_600-700', 'Entre_700-800', 'Entre_800-900', 'Entre_900-1000'}
@attribute NOTA_LINGUAGENSCODIGOS {'Abaixo_500','Entre_500-600', 'Entre_600-700', 'Entre_700-800', 'Entre_800-900', 'Entre_900-1000'}
@attribute NOTA_MATEMATICA {'Abaixo_500','Entre_500-600', 'Entre_600-700', 'Entre_700-800', 'Entre_800-900', 'Entre_900-1000'}
@attribute NOTA_REDACAO {'Abaixo_500','Entre_500-600', 'Entre_600-700', 'Entre_700-800', 'Entre_800-900', 'Entre_900-1000'}

@data
588.6,675.6,614.5,722.7,880.0,'Feminino','Branca','Publica','Completou Ensino Medio','Completou Pos-graduacao','De R$6986,01 ate R$7984,00','Sim,quatro ou mais','Sim','Entre_500-600','Entre_600-700','Entre_600-700','Entre_700-800','Entre_800-900'
482.6,470.5,463.2,426.3,600.0,'Feminino','Branca','Publica','Completou Faculdade','Completou Ensino Medio','De R$1494,00 ate R$1996,00','Sim,um','Sim','Abaixo_500','Abaixo_500','Abaixo_500','Abaixo_500','Entre_500-600'
634.1,607.1,620.4,680.0,820.0,'Feminino','Branca','Publica','Completou Ensino Medio','Completou Ensino Medio','De R$1494,00 ate R$1996,00','Sim,dois','Sim','Entre_600-700','Entre_600-700','Entre_600-700','Entre_600-700','Entre_800-900'
518.2,502.3,546.4,539.5,640.0,'Masculino','Parda','Publica','Completou 4serie/5ano','Completou Ensino Medio','De R$3992,01 ate R$4990,0','Nao','Sim','Entre_500-600','Entre_500-600','Entre_500-600','Entre_500-600','Entre_600-700'
477.8,562.5,521.7,662.2,360.0,'Masculino','Branca','Publica','Completou 8serie/9ano','Completou Ensino Medio','De R$998,01 ate R$1494,00','Sim,um','Sim','Abaixo_500','Entre_500-600','Entre_500-600','Entre_600-700','Abaixo_500'
610.0,504.7,506.4,604.1,760.0,'Feminino','Branca','Publica','Nao Completou 4serie/5ano','Nao Completou 4serie/5ano','Ate R$998,00','Sim,um','Sim','Entre_600-700','Entre_500-600','Entre_500-600','Entre_600-700','Entre_700-800'
579.0,579.6,561.7,650.4,740.0,'Feminino','Branca','Publica','Completou 4serie/5ano','Completou Ensino Medio','De R$1996,01 ate R$2495,00','Nao','Nao','Entre_500-600','Entre_500-600','Entre_500-600','Entre_600-700','Entre_700-800'
457.3,515.2,488.7,631.8,840.0,'Feminino','Branca','Publica','Nao Completou 4serie/5ano','Nao Completou 4serie/5ano','De R$2994,01 ate R$3992,00','Sim,um','Sim','Abaixo_500','Entre_500-600','Abaixo_500','Entre_600-700','Entre_800-900'
578.1,548.6,556.6,650.7,680.0,'Feminino','Branca','Publica','Completou Faculdade','Completou Faculdade','De R$1996,01 ate R$2495,00','Sim,um','Sim','Entre_500-600','Entre_500-600','Entre_500-600','Entre_600-700','Entre_600-700'
528.3,524.0,527.5,525.8,600.0,'Feminino','Branca','Publica','Nao Completou 4serie/5ano','Completou 8serie/9ano','Ate R$998,00','Sim,um','Sim','Entre_500-600','Entre_500-600','Entre_500-600','Entre_500-600','Entre_500-600'
583.1,625.7,614.1,702.6,840.0,'Feminino','Parda','Publica','Completou Faculdade','Nao Completou 4serie/5ano','De R$1996,01 ate R$2495,00','Sim,um','Sim','Entre_500-600','Entre_600-700','Entre_600-700','Entre_700-800','Entre_800-900'
602.6,575.1,530.1,524.9,660.0,'Masculino','Branca','Publica','Completou Ensino Medio','Nao Completou 4serie/5ano','De R$998,01 ate R$1494,00','Sim,um','Sim','Entre_600-700','Entre_500-600','Entre_500-600','Entre_500-600','Entre_600-700'
545.2,573.8,600.6,621.5,840.0,'Feminino','Branca','Publica','Completou 8serie/9ano','Completou 8serie/9ano','De R$1996,01 ate R$2495,00','Nao','Nao','Entre_500-600','Entre_500-600','Entre_600-700','Entre_600-700','Entre_800-900'
569.2,520.6,519.9,615.7,600.0,'Masculino','Branca','Publica','Completou Ensino Medio','Completou 4serie/5ano','De R$2495,01 ate R$2994,00','Nao','Sim','Entre_500-600','Entre_500-600','Entre_500-600','Entre_600-700','Entre_500-600'
549.2,602.2,598.5,589.6,840.0,'Feminino','Branca','Publica','Completou Ensino Medio','Completou Ensino Medio','De R$2495,01 ate R$2994,00','Sim,um','Sim','Entre_500-600','Entre_600-700','Entre_500-600','Entre_500-600','Entre_800-900'
561.2,628.5,636.0,663.2,780.0,'Feminino','Branca','Publica','Completou Ensino Medio','Completou Ensino Medio','De R$1996,01 ate R$2495,00','Sim,um','Sim','Entre_500-600','Entre_600-700','Entre_600-700','Entre_600-700','Entre_700-800'
490.4,515.2,511.0,630.8,780.0,'Feminino','Branca','Publica','Nao Completou 4serie/5ano','Completou Pos-graduacao','De R$2994,01 ate R$3992,00','Sim,um','Sim','Abaixo_500','Entre_500-600','Entre_500-600','Entre_600-700','Entre_700-800'
486.7,502.6,530.0,535.4,680.0,'Feminino','Parda','Publica','Completou 4serie/5ano','Completou 4serie/5ano','Ate R$998,00','Sim,um','Sim','Abaixo_500','Entre_500-600','Entre_500-600','Entre_500-600','Entre_600-700'
539.7,634.2,585.5,657.8,900.0,'Feminino','Branca','Publica','Nao Sei','Completou 8serie/9ano','Ate R$998,00','Sim,um','Sim','Entre_500-600','Entre_600-700','Entre_500-600','Entre_600-700','Entre_800-900'
476.0,494.4,492.5,536.5,600.0,'Feminino','Preta','Publica','Nao Completou 4serie/5ano','Completou 8serie/9ano','De R$2994,01 ate R$3992,00','Sim,um','Sim','Abaixo_500','Abaixo_500','Abaixo_500','Entre_500-600','Entre_500-600'
580.3,581.4,597.7,733.1,620.0,'Masculino','Parda','Publica','Completou Ensino Medio','Completou Ensino Medio','De R$2495,01 ate R$2994,00','Sim,um','Sim','Entre_500-600','Entre_500-600','Entre_500-600','Entre_700-800','Entre_600-700'
375.1,332.1,531.4,742.1,660.0,'Feminino','Branca','Publica','Completou Ensino Medio','Completou Ensino Medio','De R$1996,01 ate R$2495,00','Nao','Nao','Abaixo_500','Abaixo_500','Entre_500-600','Entre_700-800','Entre_600-700'
554.3,612.2,554.4,580.2,720.0,'Masculino','Branca','Publica','Completou Ensino Medio','Completou 4serie/5ano','De R$1996,01 ate R$2495,00','Sim,um','Sim','Entre_500-600','Entre_600-700','Entre_500-600','Entre_500-600','Entre_700-800'
606.0,636.5,625.3,678.5,840.0,'Feminino','Branca','Publica','Completou 8serie/9ano','Completou 8serie/9ano','De R$2495,01 ate R$2994,00','Nao','Sim','Entre_600-700','Entre_600-700','Entre_600-700','Entre_600-700','Entre_800-900'
