;TP_SEXO;TP_COR_RACA;TP_ESCOLA;CO_ESCOLA;NO_MUNICIPIO_ESC;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;NU_NOTA_REDACAO;Q001;Q002;Q006;Q024;Q025
3503617;F;1;2;31242624.0;Muzambinho;452.9;548.5;580.5;590.8;720.0;E;G;M;B;B
3505155;F;1;2;31242624.0;Muzambinho;527.9;531.9;519.0;513.8;760.0;E;F;F;A;B
3513778;M;0;2;31242624.0;Muzambinho;627.2;650.6;641.9;692.8;940.0;F;F;C;B;B
3527339;F;1;2;31242624.0;Muzambinho;616.3;602.3;611.0;648.9;860.0;E;E;C;B;B
3530593;M;0;2;31242624.0;Muzambinho;571.8;577.8;594.5;790.2;720.0;E;G;G;B;B
3530612;M;1;2;31242624.0;Muzambinho;411.8;435.0;483.5;517.6;600.0;E;F;I;B;B
3537771;M;1;2;31242624.0;Muzambinho;444.4;587.9;572.4;677.3;640.0;E;D;H;B;B
3542324;F;1;2;31242624.0;Muzambinho;575.7;630.6;613.4;655.4;840.0;E;E;J;C;B
3544418;M;1;2;31242624.0;Muzambinho;619.1;619.6;619.3;648.8;880.0;C;E;C;B;B
3547359;M;0;2;31242624.0;Muzambinho;644.4;599.8;612.4;803.7;880.0;B;C;C;B;B
3550535;F;1;2;31242624.0;Muzambinho;410.3;565.0;563.2;586.2;800.0;C;E;C;B;B
3554439;M;1;2;31242624.0;Muzambinho;601.2;645.4;579.8;688.2;720.0;B;H;B;A;A
3611401;F;2;2;31242624.0;Muzambinho;543.6;560.9;533.4;408.4;740.0;B;B;B;B;B
3611537;M;1;2;31242624.0;Muzambinho;510.1;581.3;602.7;651.3;560.0;D;E;C;A;B
3620792;M;1;2;31242624.0;Muzambinho;601.0;645.5;624.9;712.9;700.0;B;C;D;A;B
3624918;F;1;2;31242624.0;Muzambinho;458.4;559.7;571.4;640.9;840.0;D;C;E;B;B
3628083;M;1;2;31242624.0;Muzambinho;570.8;611.2;583.6;689.0;940.0;E;F;B;A;B
3628118;F;1;2;31242624.0;Muzambinho;464.9;500.3;566.0;493.6;640.0;D;B;C;C;B
3628137;F;1;2;31242624.0;Muzambinho;509.7;544.5;520.8;430.6;680.0;E;C;B;B;B
3628354;M;3;2;31242624.0;Muzambinho;459.5;454.1;477.7;655.8;560.0;E;E;D;B;B
3634488;M;1;2;31242624.0;Muzambinho;579.5;485.7;509.9;591.6;680.0;E;G;E;A;B
3644860;F;1;2;31242624.0;Muzambinho;569.1;630.9;587.8;748.0;860.0;E;D;H;A;B
3647573;M;1;2;31242624.0;Muzambinho;576.8;605.3;573.8;682.6;680.0;F;F;E;C;B
3654068;F;3;2;31242624.0;Muzambinho;456.0;474.5;509.7;373.5;540.0;C;E;E;B;B
3657820;F;1;2;31242624.0;Muzambinho;543.6;524.9;515.1;559.4;560.0;D;E;D;B;B
3960961;M;1;2;31242624.0;Muzambinho;441.9;552.6;544.5;640.7;640.0;C;G;F;A;B
4251166;F;1;2;31242624.0;Muzambinho;574.0;626.7;588.4;578.8;660.0;B;C;E;B;B
4263447;M;1;2;31242624.0;Muzambinho;535.2;577.8;535.5;680.8;640.0;E;G;H;C;B
4266710;M;1;2;31242624.0;Muzambinho;528.7;573.6;585.1;637.1;920.0;B;E;D;B;B
4270089;M;3;2;31242624.0;Muzambinho;609.9;575.9;582.3;665.6;760.0;D;G;K;D;B
4279007;M;3;2;31242624.0;Muzambinho;504.0;555.9;526.2;594.1;600.0;E;F;F;B;B
4285028;M;1;2;31242624.0;Muzambinho;526.6;574.2;589.2;611.6;640.0;C;B;B;A;A
4367567;M;3;2;31242624.0;Muzambinho;585.0;555.4;583.3;730.4;780.0;C;F;D;A;A
4372547;M;0;2;31242624.0;Muzambinho;476.6;543.7;576.9;604.0;600.0;B;B;E;B;B
4749720;F;1;2;31242624.0;Muzambinho;591.5;579.8;537.6;651.8;820.0;E;B;F;B;B
4750119;M;1;2;31242624.0;Muzambinho;576.6;618.5;544.8;599.0;820.0;G;F;D;B;B
4752808;M;1;2;31242624.0;Muzambinho;553.6;614.2;583.0;735.0;720.0;D;D;C;B;B
4761044;F;1;2;31242624.0;Muzambinho;485.9;542.4;550.9;588.7;640.0;B;B;B;A;B
4842636;M;1;3;31242624.0;Muzambinho;571.1;598.6;506.9;678.1;480.0;E;E;C;A;B
5086649;F;1;2;31242624.0;Muzambinho;572.8;630.8;581.5;648.7;800.0;E;E;B;A;B
